Sample_ID,Well,Sample_Name,Sample_Group,Plate,Slide,Array,Gender,Basename
GSM8533627,A1,GSM8533627,450K,7,9374343009,R04C02,F,9374343009/GSM8533627_9374343009_R04C02
GSM8533629,G12,GSM8533629,450K,3,9374343009,R06C02,M,9374343009/GSM8533629_9374343009_R06C02
